YouTube,Series,Date,Unique event name,Guests,Title or name of stream
https://youtu.be/L6FW9v3m-JA,"Parr, Pezzulo, Friston 2022 Textbook",3/25/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 6, Chapter 4, part 5",,"Cohort 6 Textbook Group (full playlist for Cohort 6) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/uO1QgxI9B3g,Insights,3/21/2024,Insights #016,Wanja Wiese,"Consciousness, Information Geometry, Ethical AI"
https://www.youtube.com/watch?v=cPv4TVBFANc,OrgStream,3/20/2024,OrgStream #007.1,"Jamie Joyce,John Ash",Harnessing Collective Intelligence to Map AI Debates
https://youtu.be/jhAy18rnFEM,"Parr, Pezzulo, Friston 2022 Textbook",3/18/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 9 part 1",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/Gt5vADpuw_g,"Parr, Pezzulo, Friston 2022 Textbook",3/18/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 6, Chapter 4, part 1",,"Cohort 6 Textbook Group (full playlist for Cohort 6) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=vixLMftkUK0,GuestStream,3/14/2024,GuestStream #075.1,"Tadayuki Matsumura 松村忠幸,Hiroyuki Mizuno 水野弘之,Kanako Esaki 江﨑佳奈子",Active Inference With Empathy Mechanism for Socially Behaved Artificial Agents in Diverse Situations
https://youtu.be/v6ddfMkuSpo,Insights,3/14/2024,Insights #015,"Michael Levin,Franz Kuchling","Morphogenesis, Selfhood, Teleonomy"
https://youtu.be/hf7V9oJAK6I,"Parr, Pezzulo, Friston 2022 Textbook",3/11/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 8 part 2",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/ExQZpv43sSo,"Parr, Pezzulo, Friston 2022 Textbook",3/11/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 6, Chapter 3, part 2",,"Cohort 6 Textbook Group (full playlist for Cohort 6) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/HIvGyLlZx4I,Insights,3/7/2024,Insights #014,Alex Kiefer,"Representations, Predictive Coding, Teleology"
